date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2018-01-04,430719716.445,23335,6240820000.0,0.09492,4089410000.0,16796,
2018-01-05,2994361138.39,18284,13779500000.0,0.209579,3864400000.0,15267,
2018-01-06,1084767137.46,14739,14760400000.0,0.224499,2437350000.0,13884,
2018-01-07,601843749.008,13816,11419000000.0,0.173678,1750350000.0,12020,
2018-01-08,291005408.31,16280,13491200000.0,0.205195,1532320000.0,13909,
2018-01-09,163815875.35,15119,10136100000.0,0.154165,1262110000.0,13182,
2018-01-10,175385645.666,13694,8351340000.0,0.12702,1729920000.0,11605,
2018-01-11,246864553.07,14370,8601610000.0,0.130827,1074580000.0,11757,
2018-01-12,212575003.747,11854,7219280000.0,0.109802,679499000.0,8913,
2018-01-13,339090732.258,11676,7146440000.0,0.108694,819091000.0,7993,
2018-01-14,144143605.63,9285,6748000000.0,0.102634,714279000.0,7535,
2018-01-15,191018754.917,9668,5581340000.0,0.08489,1013430000.0,8258,
2018-01-16,147244496.156,7554,4999800000.0,0.076045,695309000.0,6742,
2018-01-17,99757456.7085,7732,3537010000.0,0.053796,1326570000.0,6688,
2018-01-18,101873275.269,9046,5025290000.0,0.076432,1392330000.0,7554,
2018-01-19,193766663.984,6530,5418210000.0,0.082408,706522000.0,5497,
2018-01-20,46235814.0079,4892,5336000000.0,0.081158,626439000.0,4296,
2018-01-21,131919136.519,4420,5579930000.0,0.084868,561259000.0,3765,
2018-01-22,57482210.6354,4866,4730400000.0,0.071947,623767000.0,4335,
2018-01-23,26550249.2339,3662,4681940000.0,0.07121,409592000.0,3374,
2018-01-24,42291025.2868,5842,4510090000.0,0.068596,505469000.0,4443,
2018-01-25,40717410.2558,4287,4684670000.0,0.071252,362498000.0,3285,
2018-01-26,40174507.2477,4496,4510310000.0,0.0686,381402000.0,3698,
2018-01-27,25608779.4988,4158,4371910000.0,0.066495,282557000.0,3364,
2018-01-28,24335866.8809,4156,4531100000.0,0.068916,276321000.0,3466,
2018-01-29,81869744.6983,6710,4302000000.0,0.065431,256876000.0,5351,
2018-01-30,68716342.8512,5850,4212160000.0,0.064065,267126000.0,5040,
2018-01-31,57203881.1056,3808,3547640000.0,0.053958,251081000.0,3180,
2018-02-01,111592613.638,3542,3599930000.0,0.054753,288656000.0,3121,
2018-02-02,96556619.6301,3919,3027200000.0,0.046042,363929000.0,3395,
2018-02-03,19780125.3236,3300,2697960000.0,0.041035,241929000.0,2808,
2018-02-04,13331878.9665,2497,2927420000.0,0.044525,169961000.0,2200,
2018-02-05,13972491.2951,3399,2484620000.0,0.03779,167297000.0,3039,
2018-02-06,31623782.8229,4140,1996600000.0,0.030367,271110000.0,3246,
2018-02-07,16030430.6896,2983,2382380000.0,0.036235,204200000.0,2329,
2018-02-08,3544365.51235,879,2147850000.0,0.032668,193437000.0,736,
2018-02-09,21233199.1773,3419,2418560000.0,0.036785,176363000.0,2562,
2018-02-10,21883226.207,4829,3118050000.0,0.047424,470409000.0,3953,
2018-02-11,18193198.8323,3118,3192980000.0,0.048564,273583000.0,2500,
2018-02-12,18470466.957,3737,2801090000.0,0.042603,219120000.0,3218,
2018-02-13,10115265.9726,2325,3031200000.0,0.046103,178961000.0,2003,
2018-02-14,41938244.9023,2215,2846580000.0,0.043295,186660000.0,1918,
2018-02-15,52596706.2358,2153,3019310000.0,0.045922,178913000.0,1846,
2018-02-16,37587169.3924,2760,3056550000.0,0.046489,310513000.0,2055,
2018-02-17,19248746.5422,2808,3429070000.0,0.052155,231988000.0,2377,
2018-02-18,11524296.0748,2085,3611850000.0,0.054935,195043000.0,1861,
2018-02-19,9546048.91466,2174,3258170000.0,0.049555,178481000.0,2021,
2018-02-20,11950697.8953,2355,3388440000.0,0.051537,198213000.0,2170,
2018-02-21,36804493.6519,1869,3084190000.0,0.046909,179053000.0,1794,
2018-02-22,634167492.282,2010,2923230000.0,0.044461,162733000.0,1836,
2018-02-23,10720722.8219,1646,2647990000.0,0.040275,159881000.0,1529,
2018-02-24,14544180.9076,1764,2817710000.0,0.042856,194793000.0,1653,
2018-02-25,7456163.84424,1561,2683920000.0,0.040821,182260000.0,1483,
2018-02-26,98770096.5532,1865,2623310000.0,0.039899,189976000.0,1745,
2018-02-27,13411527.4726,1896,2747730000.0,0.041792,219795000.0,1779,
2018-02-28,10823573.9155,2165,2809830000.0,0.042736,298758000.0,1909,
2018-03-01,55952247.5276,2773,2860960000.0,0.043514,318231000.0,2316,
2018-03-02,225882670.844,14022,3201930000.0,0.0487,824566000.0,11795,
2018-03-03,84020964.8474,5036,3453410000.0,0.052525,399205000.0,4401,
2018-03-04,32167173.6733,3022,3207790000.0,0.048789,314649000.0,2659,
2018-03-05,30791014.1252,4254,3139800000.0,0.047755,284714000.0,3768,
2018-03-06,26151346.8246,2922,3073300000.0,0.046744,262251000.0,2455,
2018-03-07,21677016.2702,3562,2889260000.0,0.043944,290194000.0,2801,
2018-03-08,26456873.8772,6412,2530480000.0,0.038488,236262000.0,4262,
2018-03-09,25105497.0448,3765,2390830000.0,0.036363,295229000.0,2691,
2018-03-10,8884423.28793,2675,2428790000.0,0.036941,253447000.0,2171,
2018-03-11,12058508.1594,2426,2284820000.0,0.034751,266342000.0,2001,
2018-03-12,37147154.458,2755,2535330000.0,0.038561,228565000.0,2319,
2018-03-13,20438857.1237,2668,2364860000.0,0.035968,200526000.0,2263,
2018-03-14,124948921.666,9799,2347250000.0,0.035701,197406000.0,9155,
2018-03-15,25323861.2175,4210,2041290000.0,0.031047,169547000.0,3402,
2018-03-16,23922926.1552,5178,1975650000.0,0.030049,149356000.0,4184,
2018-03-17,13025379.0053,2963,1983220000.0,0.030164,116472000.0,2436,
2018-03-18,14607260.9075,2894,1859720000.0,0.028286,127381000.0,2309,
2018-03-19,25403749.362,4265,1904740000.0,0.02897,183591000.0,3414,
2018-03-20,17987188.4034,3486,2151820000.0,0.032728,250397000.0,2793,
2018-03-21,145967973.709,5150,2504020000.0,0.038085,232926000.0,4052,
2018-03-22,21066754.4834,3448,2443140000.0,0.037159,227472000.0,2832,
2018-03-23,21884994.5564,3629,2488770000.0,0.037853,230134000.0,2774,
2018-03-24,44694105.2061,8876,2742830000.0,0.041717,706931000.0,6992,
2018-03-25,48735986.1628,4874,3249150000.0,0.049418,320430000.0,3416,
2018-03-26,42361712.8328,5026,2981060000.0,0.045341,327374000.0,3531,
2018-03-27,69941539.8236,5364,2917470000.0,0.044373,274910000.0,4292,
2018-03-28,20268394.906,3339,2817610000.0,0.042854,280836000.0,2577,
2018-03-29,45847133.6773,5846,3219420000.0,0.048966,483101000.0,4314,
2018-03-30,38701155.3317,4366,2802890000.0,0.042631,349433000.0,3100,
2018-03-31,43144236.9391,4832,2714260000.0,0.041283,358492000.0,2871,
2018-04-01,17244515.4203,3214,2232460000.0,0.033955,219373000.0,2107,
2018-04-02,21796952.8175,3248,2121750000.0,0.032271,241103000.0,2189,
2018-04-03,28652276.0264,3764,2346600000.0,0.035691,240608000.0,2650,
2018-04-04,22916033.8954,2769,2280400000.0,0.034684,157469000.0,1871,
2018-04-05,340571987.749,49328,1978730000.0,0.030096,1488740000.0,42607,
2018-04-06,134515197.029,10923,2583490000.0,0.039294,661967000.0,7721,
2018-04-07,102947397.451,5892,2424740000.0,0.036879,245334000.0,4167,
2018-04-08,32300907.342,3793,2431200000.0,0.036978,215713000.0,2821,
2018-04-09,55919332.6479,4413,2475120000.0,0.037645,295115000.0,3081,
2018-04-10,40800142.3051,4013,2353230000.0,0.035792,303562000.0,2855,
2018-04-11,25277994.4169,3773,2422880000.0,0.036851,301439000.0,2621,
2018-04-12,80857340.1348,5929,2376310000.0,0.036143,415957000.0,3216,
2018-04-13,55140695.1066,6199,2591430000.0,0.039414,484566000.0,3692,
2018-04-14,24998566.7144,3542,2543450000.0,0.038685,307575000.0,2511,
2018-04-15,24930851.1618,3759,2634010000.0,0.040062,306262000.0,2666,
2018-04-16,17965250.2602,3441,2820460000.0,0.042898,296338000.0,2852,
2018-04-17,28837357.8932,4613,2713770000.0,0.041275,359111000.0,3444,
2018-04-18,27938112.9691,5638,2761820000.0,0.042006,475426000.0,3953,
2018-04-19,65509481.1601,6986,3118400000.0,0.047429,587154000.0,5008,
2018-04-20,32814550.6738,5743,3230470000.0,0.049134,477675000.0,4148,
2018-04-21,46028534.3393,4986,3528000000.0,0.053659,715849000.0,3638,
2018-04-22,41392214.5258,4862,3511380000.0,0.053407,319432000.0,4022,
2018-04-23,35445225.891,5662,3447180000.0,0.05243,472464000.0,4214,
2018-04-24,106642813.161,11122,3836350000.0,0.058349,1561020000.0,8103,
2018-04-25,156125318.373,9266,4712910000.0,0.071681,2124440000.0,6541,
2018-04-26,59315736.864,5971,4601250000.0,0.069983,759337000.0,4324,
